step,train_loss,loss,val_loss,lr,elapsed_sec,samples_per_sec,gpu_memory_used_mb,nan_inf_status
1,0.008344420231878757,0.008344420231878757,0.004563110880553722,0.001,0.0013298988342285156,1503.8737898888492,0.0,PASS
2,0.006980250123888254,0.006980250123888254,,0.001,0.0006785392761230469,2947.50808151792,0.0,PASS
3,0.004812031984329224,0.004812031984329224,,0.001,0.024137258529663086,82.85945139718883,0.0,PASS
4,0.012969240546226501,0.012969240546226501,,0.001,0.0017261505126953125,1158.6475138121548,0.0,PASS
5,0.01218138262629509,0.01218138262629509,,0.001,0.0010161399841308594,1968.2327545753167,0.0,PASS
6,0.0046020206063985825,0.0046020206063985825,,0.001,0.0009753704071044922,2050.5030554876557,0.0,PASS
7,0.00228449166752398,0.00228449166752398,,0.001,0.0009663105010986328,2069.7281026400196,0.0,PASS
8,0.008334839716553688,0.008334839716553688,,0.001,0.0010380744934082031,1926.6440055121727,0.0,PASS
9,0.007491196971386671,0.007491196971386671,,0.001,0.0009720325469970703,2057.5442727495706,0.0,PASS
10,0.008252095431089401,0.008252095431089401,0.004670057911425829,0.001,0.0009722709655761719,2057.0397253555666,0.0,PASS
11,0.0036863668356090784,0.0036863668356090784,,0.001,0.0005030632019042969,3975.6436018957347,0.0,PASS
12,0.0025481299962848425,0.0025481299962848425,,0.001,0.0009899139404296875,2020.3776493256262,0.0,PASS
13,0.0031775119714438915,0.0031775119714438915,,0.001,0.0009818077087402344,2037.058766391452,0.0,PASS
14,0.003999033011496067,0.003999033011496067,,0.001,0.0009779930114746094,2045.0043881033641,0.0,PASS
15,0.004229535348713398,0.004229535348713398,,0.001,0.0009486675262451172,2108.2201558180445,0.0,PASS
16,0.0033073159866034985,0.0033073159866034985,,0.001,0.0009548664093017578,2094.5338327091135,0.0,PASS
17,0.0012338092783465981,0.0012338092783465981,,0.001,0.0009481906890869141,2109.2803620819714,0.0,PASS
18,0.0035847490653395653,0.0035847490653395653,,0.001,0.0009262561798095703,2159.2298584298583,0.0,PASS
19,0.00416160374879837,0.00416160374879837,,0.001,0.0009560585021972656,2091.9221945137156,0.0,PASS
20,0.004505529999732971,0.004505529999732971,0.003398087341338396,0.001,0.0009813308715820312,2038.0485908649173,0.0,PASS
21,0.0029681294690817595,0.0029681294690817595,,0.001,0.0005238056182861328,3818.2102867546655,0.0,PASS
22,0.0018756414065137506,0.0018756414065137506,,0.001,0.0009839534759521484,2032.6164283983524,0.0,PASS
23,0.001297978451475501,0.001297978451475501,,0.001,0.0009877681732177734,2024.7665942553706,0.0,PASS
24,0.001185026136226952,0.001185026136226952,,0.001,0.0009958744049072266,2008.2853722767536,0.0,PASS
25,0.0019767924677580595,0.0019767924677580595,,0.001,0.0009529590606689453,2098.7260445334,0.0,PASS
26,0.002288720104843378,0.002288720104843378,,0.001,0.0009739398956298828,2053.514810281518,0.0,PASS
