step,train_loss,loss,val_loss,lr,elapsed_sec,samples_per_sec,gpu_memory_used_mb,nan_inf_status
1,0.005236602388322353,0.005236602388322353,0.00891117937862873,0.001,0.06425714492797852,31.124943416668522,0.0,PASS
2,0.007574756164103746,0.007574756164103746,,0.001,0.0013685226440429688,1461.4299651567944,0.0,PASS
3,0.012045818381011486,0.012045818381011486,,0.001,0.0009903907775878906,2019.4049109292248,0.0,PASS
4,0.007461177185177803,0.007461177185177803,,0.001,0.0009298324584960938,2150.925128205128,0.0,PASS
5,0.004661080427467823,0.004661080427467823,,0.001,0.0009100437164306641,2197.6966203824995,0.0,PASS
6,0.0025115273892879486,0.0025115273892879486,,0.001,0.0009510517120361328,2102.9350714464777,0.0,PASS
7,0.004416699521243572,0.004416699521243572,,0.001,0.0009489059448242188,2107.6904522613067,0.0,PASS
8,0.013252348639070988,0.013252348639070988,,0.001,0.0009641647338867188,2074.3343224530167,0.0,PASS
9,0.003522098995745182,0.003522098995745182,,0.001,0.0009236335754394531,2165.360867320599,0.0,PASS
10,0.002517790999263525,0.002517790999263525,0.001502387342043221,0.001,0.000904083251953125,2212.1856540084386,0.0,PASS
11,0.0018780396785587072,0.0018780396785587072,,0.001,0.001056671142578125,1892.7364620938629,0.0,PASS
12,0.0016845033969730139,0.0016845033969730139,,0.001,0.0009565353393554688,2090.879361914257,0.0,PASS
13,0.004314531106501818,0.004314531106501818,,0.001,0.0009052753448486328,2209.2725836186464,0.0,PASS
14,0.00447423942387104,0.00447423942387104,,0.001,0.0009160041809082031,2183.396147839667,0.0,PASS
15,0.0025982691440731287,0.0025982691440731287,,0.001,0.00093841552734375,2131.2520325203254,0.0,PASS
16,0.0024188398383557796,0.0024188398383557796,,0.001,0.0009295940399169922,2151.476788920236,0.0,PASS
17,0.0021532070823013783,0.0021532070823013783,,0.001,0.0009105205535888672,2196.5456925896833,0.0,PASS
18,0.001934187370352447,0.001934187370352447,,0.001,0.0009100437164306641,2197.6966203824995,0.0,PASS
19,0.002075529657304287,0.002075529657304287,,0.001,0.0008864402770996094,2256.2151694459385,0.0,PASS
20,0.0016198153607547283,0.0016198153607547283,0.001526134554296732,0.001,0.0009059906005859375,2207.5284210526315,0.0,PASS
21,0.0015514058759436011,0.0015514058759436011,,0.001,0.0010442733764648438,1915.207305936073,0.0,PASS
22,0.001715215970762074,0.001715215970762074,,0.001,0.0009610652923583984,2081.0240635078144,0.0,PASS
23,0.0015909927897155285,0.0015909927897155285,,0.001,0.0009098052978515625,2198.272536687631,0.0,PASS
24,0.0017957303207367659,0.0017957303207367659,,0.001,0.0009260177612304688,2159.7857878475797,0.0,PASS
25,0.0011585108004510403,0.0011585108004510403,,0.001,0.0009465217590332031,2112.9994962216624,0.0,PASS
26,0.0010418940801173449,0.0010418940801173449,,0.001,0.0009503364562988281,2104.517812343201,0.0,PASS
27,0.0010087881237268448,0.0010087881237268448,,0.001,0.0009107589721679688,2195.9706806282725,0.0,PASS
28,0.0007918802439235151,0.0007918802439235151,,0.001,0.0009410381317138672,2125.3123891563214,0.0,PASS
29,0.0006827387842349708,0.0006827387842349708,,0.001,0.0009276866912841797,2155.900282703675,0.0,PASS
30,0.0030225622467696667,0.0030225622467696667,0.0015722486423328519,0.001,0.0009024143218994141,2216.276882430647,0.0,PASS
31,0.0020442164968699217,0.0020442164968699217,,0.001,0.001117706298828125,1789.3788395904437,0.0,PASS
32,0.000969876884482801,0.000969876884482801,,0.001,0.0009739398956298828,2053.514810281518,0.0,PASS
33,0.0006478618597611785,0.0006478618597611785,,0.001,0.0009191036224365234,2176.033203631647,0.0,PASS
34,0.0014582487056031823,0.0014582487056031823,,0.001,0.0009121894836425781,2192.526921066388,0.0,PASS
35,0.000785678334068507,0.000785678334068507,,0.001,0.0010933876037597656,1829.1774967291758,0.0,PASS
36,0.002157395938411355,0.002157395938411355,,0.001,0.0009555816650390625,2092.9660678642713,0.0,PASS
37,0.0022892560809850693,0.0022892560809850693,,0.001,0.0009300708770751953,2150.3737503204306,0.0,PASS
38,0.0024428211618214846,0.0024428211618214846,,0.001,0.0009119510650634766,2193.1001307189545,0.0,PASS
39,0.0015285307308658957,0.0015285307308658957,,0.001,0.0009198188781738281,2174.3411093831,0.0,PASS
40,0.0009489812073297799,0.0009489812073297799,0.0006596574676223099,0.001,0.0009191036224365234,2176.033203631647,0.0,PASS
41,0.0006200564093887806,0.0006200564093887806,,0.001,0.0010943412780761719,1827.5834422657952,0.0,PASS
42,0.0008012164034880698,0.0008012164034880698,,0.001,0.000949859619140625,2105.574297188755,0.0,PASS
43,0.00029452424496412277,0.00029452424496412277,,0.001,0.0009279251098632812,2155.3463514902364,0.0,PASS
44,0.0015915766125544906,0.0015915766125544906,,0.001,0.0009148120880126953,2186.2413343758144,0.0,PASS
45,0.0018602476920932531,0.0018602476920932531,,0.001,0.0009531974792480469,2098.201100550275,0.0,PASS
46,0.0005850014858879149,0.0005850014858879149,,0.001,0.0009403228759765625,2126.9290060851927,0.0,PASS
47,0.0011434328043833375,0.0011434328043833375,,0.001,0.0009021759033203125,2216.862579281184,0.0,PASS
48,0.0010230212938040495,0.0010230212938040495,,0.001,0.0009131431579589844,2190.2370757180156,0.0,PASS
49,0.00026926951250061393,0.00026926951250061393,,0.001,0.0009298324584960938,2150.925128205128,0.0,PASS
50,0.0007442106725648046,0.0007442106725648046,0.0009691095910966396,0.001,0.0009217262268066406,2169.8416968442834,0.0,PASS
51,0.0008661316242069006,0.0008661316242069006,,0.001,0.001051187515258789,1902.610115672488,0.0,PASS
52,0.000563437060918659,0.000563437060918659,,0.001,0.0009515285491943359,2101.881232773741,0.0,PASS
53,0.0009469612268730998,0.0009469612268730998,,0.001,0.0009152889251708984,2185.1023704089607,0.0,PASS
54,0.0008937082602642477,0.0008937082602642477,,0.001,0.0009236335754394531,2165.360867320599,0.0,PASS
55,0.0006437567644752562,0.0006437567644752562,,0.001,0.0009479522705078125,2109.810865191147,0.0,PASS
56,0.0005305006052367389,0.0005305006052367389,,0.001,0.0009229183197021484,2167.0390080082666,0.0,PASS
57,0.0004777727008331567,0.0004777727008331567,,0.001,0.0009112358093261719,2194.821559392988,0.0,PASS
58,0.0005983986193314195,0.0005983986193314195,,0.001,0.0009145736694335938,2186.81126173097,0.0,PASS
59,0.000553579127881676,0.000553579127881676,,0.001,0.0008955001831054688,2233.3887113951014,0.0,PASS
60,0.0005881367833353579,0.0005881367833353579,0.0006820496055297554,0.001,0.0008931159973144531,2239.350774159103,0.0,PASS
61,0.0005956612876616418,0.0005956612876616418,,0.001,0.0010447502136230469,1914.333181195801,0.0,PASS
62,0.0004261144786141813,0.0004261144786141813,,0.001,0.0009431838989257812,2120.4772497472195,0.0,PASS
63,0.0004538839275483042,0.0004538839275483042,,0.001,0.0008943080902099609,2236.3657691282324,0.0,PASS
64,0.000497356872074306,0.000497356872074306,,0.001,0.0009055137634277344,2208.6908899420746,0.0,PASS
65,0.00030459833214990795,0.00030459833214990795,,0.001,0.0009372234344482422,2133.9628593233274,0.0,PASS
66,0.0003057564317714423,0.0003057564317714423,,0.001,0.0009112358093261719,2194.821559392988,0.0,PASS
67,0.00015776818327140063,0.00015776818327140063,,0.001,0.0009238719940185547,2164.802064516129,0.0,PASS
68,0.0004743241297546774,0.0004743241297546774,,0.001,0.0009002685546875,2221.5593220338983,0.0,PASS
69,0.00026533345226198435,0.00026533345226198435,,0.001,0.0009191036224365234,2176.033203631647,0.0,PASS
70,0.0008191054803319275,0.0008191054803319275,0.00040651881136000156,0.001,0.000896453857421875,2231.012765957447,0.0,PASS
71,0.0005645003402605653,0.0005645003402605653,,0.001,0.0010502338409423828,1904.3377979568672,0.0,PASS
