index,pytorch_step,pytorch_train_loss,pytorch_val_loss,jittor_step,jittor_train_loss,jittor_val_loss
0,1,0.0042844428680837154,0.010821487754583359,1,0.004284441936761141,0.010813348926603794
1,2,0.01677817292511463,,2,0.01676279678940773,
2,3,0.00797031819820404,,3,0.007974226959049702,
3,4,0.008437433280050755,,4,0.00843748077750206,
4,5,0.005168564151972532,,5,0.005164559464901686,
5,6,0.0036039920523762703,,6,0.0035983033012598753,
6,7,0.003500851336866617,,7,0.0035010469146072865,
7,8,0.004183647222816944,,8,0.004187670070677996,
8,9,0.0021933740936219692,,9,0.002194544766098261,
9,10,0.014064405113458633,0.004297170788049698,10,0.014060278423130512,0.004293365404009819
10,11,0.0020978415850549936,,11,0.0020972241181880236,
11,12,0.0019823038019239902,,12,0.0019791298545897007,
12,13,0.0010105925612151623,,13,0.0010106012923642993,
13,14,0.0019086028914898634,,14,0.0019134298199787736,
14,15,0.002786376979202032,,15,0.002788249170407653,
15,16,0.0028555081225931644,,16,0.002854780526831746,
16,17,0.0021204473450779915,,17,0.0021180922631174326,
17,18,0.0013813241384923458,,18,0.0013817906146869063,
18,19,0.0008786387043073773,,19,0.0008774184971116483,
19,20,0.0007134595653042197,0.0013872231356799603,20,0.0007151086465455592,0.0013876582961529493
20,21,0.0013506768736988306,,21,0.0013511060969904065,
21,22,0.0022321422584354877,,22,0.0022324167657643557,
22,23,0.0016269267071038485,,23,0.001624337979592383,
23,24,0.0008287894888781011,,24,0.0008294400759041309,
24,25,0.0016184586565941572,,25,0.0016150737646967173,
25,26,0.001371721737086773,,26,0.001369424513541162,
26,27,0.001033052452839911,,27,0.0010320352157577872,
27,28,0.0008289396646432579,,28,0.0008289344841614366,
28,29,0.0008182530291378498,,29,0.0008182560559362173,
29,30,0.0010223237331956625,0.0011070513864979148,30,0.0010215123184025288,0.001105620409362018
30,31,0.0010710656642913818,,31,0.0010695797391235828,
31,32,0.0008999726851470768,,32,0.0008984988671727479,
32,33,0.0006578805623576045,,33,0.0006569004617631435,
33,34,0.00046574967564083636,,34,0.00046559219481423497,
34,35,0.0005382102681323886,,35,0.0005384189425967634,
35,36,0.0005745942471548915,,36,0.0005753747536800802,
36,37,0.0006459811120294034,,37,0.0006451525841839612,
37,38,0.00047704752068966627,,38,0.00047436606837436557,
38,39,0.0007012627320364118,,39,0.0007007636013440788,
39,40,0.00029483099933713675,0.00044960330706089735,40,0.00029516214272007346,0.0004494160530157387
40,41,0.00038352538831532,,41,0.000383348815375939,
41,42,0.00040869551594369113,,42,0.00040813194937072694,
42,43,0.0004268097400199622,,43,0.00042621741886250675,
43,44,0.0005458453670144081,,44,0.0005460779066197574,
44,45,0.00022293375513982028,,45,0.00022255105432122946,
45,46,0.00032707961509004235,,46,0.00032703287433832884,
46,47,0.00041086424607783556,,47,0.0004108359571546316,
47,48,0.0003273664624430239,,48,0.00032695746631361544,
48,49,0.0004342664615251124,,49,0.000434274785220623,
49,50,0.00040836853440850973,0.00036832864861935377,50,0.00040821224683895707,0.0003671390295494348
50,51,0.0002941872808150947,,51,0.0002918095560744405,
51,52,0.0002990046632476151,,52,0.00029872445156797767,
52,53,0.00025797728449106216,,53,0.00025801503215916455,
53,54,0.00031887926161289215,,54,0.0003185247187502682,
54,55,0.0002516802051104605,,55,0.00024987311917357147,
55,56,0.00028844986809417605,,56,0.00028798406128771603,
56,57,0.00025472600827924907,,57,0.0002546768228057772,
57,58,0.00034638019860722125,,58,0.0003464400942903012,
58,59,0.0001977104984689504,,59,0.0001967701391549781,
59,60,0.0002658210869412869,0.00027990996022708714,60,0.0002653017872944474,0.0002796489279717207
60,61,0.00034855277044698596,,61,0.0003484811168164015,
61,62,0.00014144863234832883,,62,0.00014123186701908708,
62,63,0.00023624485766049474,,63,0.00023622819571755826,
63,64,0.00014007465506438166,,64,0.0001398024323862046,
64,65,0.00014732698036823422,,65,0.00014711252879351377,
65,66,0.00024013544316403568,,66,0.00023989116016309708,
66,67,0.00025103698135353625,,67,0.00025084451772272587,
67,68,0.00032508355798199773,,68,0.0003249706351198256,
68,69,0.0002222906769020483,,69,0.0002221637696493417,
69,70,0.0003147424722556025,0.0002640207821968943,70,0.0003144170332234353,0.0002636915596667677
70,71,0.00015245864051394165,,71,0.0001520830555818975,
71,72,0.0003333520144224167,,72,0.00033310643630102277,
72,73,0.0002860560780391097,,73,0.00028606527484953403,
73,74,0.00015925467596389353,,74,0.000159039453137666,
74,75,0.00014129839837551117,,75,0.00014113869110587984,
75,76,0.00045884904102422297,,76,0.0004576159408316016,
76,77,0.00022302141587715596,,77,0.00022283867292571813,
77,78,0.00021230929996818304,,78,0.00021224032389000058,
78,79,0.00039864395512267947,,79,0.0003981920308433473,
79,80,0.0002535862731747329,0.00024037313414737582,80,0.00025326726608909667,0.0002402442623861134
80,81,0.0001386817602906376,,81,0.00013855051656719297,
81,82,0.0001312161039095372,,82,0.0001312415552092716,
82,83,0.0003088123048655689,,83,0.0003090058744419366,
83,84,0.0002738905022852123,,84,0.0002737399481702596,
84,85,0.0001973911130335182,,85,0.00019695807714015245,
85,86,0.00020126416347920895,,86,0.00020129252516198903,
86,87,0.0002137065166607499,,87,0.00021383381681516767,
87,88,0.0003006343322340399,,88,0.0003007958293892443,
88,89,0.00031100664637051523,,89,0.0003107470110990107,
89,90,0.00024590850807726383,0.00023071908799465746,90,0.00024566680076532066,0.00023069263261277229
90,91,0.00022135621111374348,,91,0.00022136255574878305,
91,92,0.00013667086022906005,,92,0.0001367515797028318,
92,93,0.00021532854589167982,,93,0.0002153034001821652,
93,94,0.00021677826589439064,,94,0.00021653786825481802,
94,95,0.00025104969972744584,,95,0.00025109140551649034,
95,96,0.00019391084788367152,,96,0.00019378818979021162,
96,97,0.0001978405489353463,,97,0.0001978812215384096,
97,98,0.00021115060371812433,,98,0.00021117892174515873,
98,99,0.00019522439106367528,,99,0.00019513654115144163,
99,100,0.00012323651753831655,0.0002138108538929373,100,0.0001229821500601247,0.0002138614363502711
100,101,0.00019750132923945785,,101,0.00019756861729547381,
101,102,0.00020005455007776618,,102,0.0002000854874495417,
102,103,0.0002452945336699486,,103,0.0002452885964885354,
103,104,0.00022997334599494934,,104,0.0002299705083714798,
104,105,0.00023520097602158785,,105,0.000234724284382537,
105,106,0.00019106913532596081,,106,0.00019087710825260729,
106,107,0.00011954608635278419,,107,0.00011951688065892085,
107,108,0.00019590253941714764,,108,0.00019574700854718685,
108,109,0.00014102744171395898,,109,0.00014041716349311173,
109,110,0.00017472820763941854,0.0002050656476058066,110,0.00017469385056756437,0.00020506633154582232
110,111,0.0001770341768860817,,111,0.00017704027413856238,
111,112,0.00018404133152216673,,112,0.0001839090109569952,
112,113,0.0001387678785249591,,113,0.0001383008057018742,
113,114,0.00018411577912047505,,114,0.0001840760523919016,
114,115,0.00012255948968231678,,115,0.00012249102292116731,
115,116,0.00025466259103268385,,116,0.0002546768228057772,
116,117,0.00020188176131341606,,117,0.00020160879648756236,
117,118,0.00025864550843834877,,118,0.00025864338385872543,
118,119,0.00024721992667764425,,119,0.00024722921079955995,
119,120,0.0001758094149408862,0.00020367051183711737,120,0.0001757713471306488,0.00020366303215269
120,121,0.00017985513841267675,,121,0.0001798423327272758,
121,122,0.0001707332266960293,,122,0.00017070176545530558,
122,123,0.00017409439897164702,,123,0.00017402242519892752,
123,124,0.00019505005911923945,,124,0.00019500769849400967,
124,125,0.00011649003135971725,,125,0.00011644923506537452,
125,126,0.00023735234572086483,,126,0.00023732184490654618,
126,127,0.00012757646618410945,,127,0.00012735991913359612,
127,128,0.00011130490020150319,,128,0.00011120941780973226,
128,129,0.0002468892198521644,,129,0.0002468700404278934,
129,130,0.00023262285685632378,0.00021648041729349643,130,0.00023260335728991777,0.00021603073400910944
130,131,0.00019215205975342542,,131,0.00019174261251464486,
131,132,0.00019903018255718052,,132,0.00019864558998961002,
132,133,0.00018574199930299073,,133,0.00018563898629508913,
133,134,0.0001628292811801657,,134,0.0001627898309379816,
134,135,0.000182861287612468,,135,0.00018260838987771422,
135,136,0.00019346916815266013,,136,0.00019321693980600685,
136,137,0.0001889315026346594,,137,0.00018885261670220643,
137,138,0.00011788694246206433,,138,0.00011783365334849805,
138,139,0.00021862387075088918,,139,0.00021860326523892581,
139,140,0.00023710945970378816,0.00021930475486442447,140,0.00023712878464721143,0.00021873034711461514
140,141,0.00017327458772342652,,141,0.00017213090904988348,
141,142,0.00022930449631530792,,142,0.00022927620739210397,
142,143,0.00017159440903924406,,143,0.00017152931832242757,
143,144,0.00016129796858876944,,144,0.00016061560017988086,
144,145,0.0002282738860230893,,145,0.00022824246843811125,
145,146,0.0001731691008899361,,146,0.00017318139725830406,
146,147,0.00018815239309333265,,147,0.00018814356008078903,
147,148,0.0001725061156321317,,148,0.000172417625435628,
148,149,0.00011223950423300266,,149,0.00011215091217309237,
149,150,0.00017894982011057436,0.00019460043404251337,150,0.00017894813208840787,0.00019448947568889707
150,151,0.00017999426927417517,,151,0.00017987340106628835,
151,152,0.00022587343119084835,,152,0.00022587011335417628,
152,153,0.0001847082021413371,,153,0.0001845155202317983,
153,154,0.00011441986862337217,,154,0.00011432227620389313,
154,155,0.00016833774861879647,,155,0.00016828493971843272,
155,156,0.00016518833581358194,,156,0.00016492107533849776,
156,157,0.00016582860553171486,,157,0.00016562110977247357,
157,158,0.00016597700596321374,,158,0.0001659396366449073,
158,159,0.00011057959636673331,,159,0.00011057564552174881,
159,160,0.00019943351799156517,0.0001857741444837302,160,0.00019932864233851433,0.00018556888971943408
160,161,0.00017422132077626884,,161,0.00017399016360286623,
161,162,0.000159317598445341,,162,0.00015922779857646674,
162,163,0.00017458964430261403,,163,0.00017455375927966088,
163,164,0.0001641562266740948,,164,0.00016408314695581794,
164,165,0.0001637666136957705,,165,0.00016358330321963876,
165,166,0.00016752413648646325,,166,0.00016745500033721328,
166,167,0.00022283405996859074,,167,0.0002228153753094375,
167,168,0.00012547567894216627,,168,0.00012539829185698181,
168,169,0.00016522189253009856,,169,0.00016511204012203962,
169,170,0.0001198419849970378,0.0001987649593502283,170,0.00011988159531028941,0.00019872619304805994
170,171,0.00012230791617184877,,171,0.00012228336709085852,
171,172,0.00020871817832812667,,172,0.00020869985746685416,
172,173,0.00021344241395127028,,173,0.00021350781025830656,
173,174,0.00022629962768405676,,174,0.00022627368161920458,
174,175,0.00020382413640618324,,175,0.00020390124700497836,
175,176,0.00016277743270620704,,176,0.00016278785187751055,
176,177,0.00016699120169505477,,177,0.00016701345157343894,
177,178,0.0001815689611248672,,178,0.00018161888874601573,
178,179,0.00017398782074451447,,179,0.00017401648801751435,
179,180,0.00015880192222539335,0.0001807708031265065,180,0.00015879643615335226,0.00018079006986226887
