metric,value
mae,2.4488862019704055e-07
max_abs,4.308298230171204e-06
rmse,3.4760109612852134e-07
psnr,129.1783772542593
ssim,1.0
relative_l2,5.783607204842348e-07
cosine_similarity,0.9999999999998049
