index,pytorch_step,pytorch_train_loss,pytorch_val_loss,jittor_step,jittor_train_loss,jittor_val_loss
0,1,0.008344427682459354,0.004565875977277756,1,0.008344420231878757,0.004563110880553722
1,2,0.006983318366110325,,2,0.006980250123888254,
2,3,0.004811685532331467,,3,0.004812031984329224,
3,4,0.012971225194633007,,4,0.012969240546226501,
4,5,0.012182209640741348,,5,0.01218138262629509,
5,6,0.0046022804453969,,6,0.0046020206063985825,
6,7,0.002284491900354624,,7,0.00228449166752398,
7,8,0.008337549865245819,,8,0.008334839716553688,
8,9,0.007491640746593475,,9,0.007491196971386671,
9,10,0.008250187151134014,0.004671043716371059,10,0.008252095431089401,0.004670057911425829
10,11,0.0036865626461803913,,11,0.0036863668356090784,
11,12,0.002549320226535201,,12,0.0025481299962848425,
12,13,0.0031790242064744234,,13,0.0031775119714438915,
13,14,0.003999712411314249,,14,0.003999033011496067,
14,15,0.004229256883263588,,15,0.004229535348713398,
15,16,0.003305461723357439,,16,0.0033073159866034985,
16,17,0.0012326728319749236,,17,0.0012338092783465981,
17,18,0.0035859968047589064,,18,0.0035847490653395653,
18,19,0.004162789322435856,,19,0.00416160374879837,
19,20,0.00450724083930254,0.00339970993809402,20,0.004505529999732971,0.003398087341338396
20,21,0.002968537388369441,,21,0.0029681294690817595,
21,22,0.0018750934395939112,,22,0.0018756414065137506,
22,23,0.0012973046395927668,,23,0.001297978451475501,
23,24,0.001184995868243277,,24,0.001185026136226952,
24,25,0.0019780490547418594,,25,0.0019767924677580595,
25,26,0.0022906200028955936,,26,0.002288720104843378,
26,27,0.001911626197397709,,27,0.0019104782259091735,
27,28,0.0012490134686231613,,28,0.0012498468859121203,
28,29,0.0008083535358309746,,29,0.0008092197822406888,
29,30,0.0006628930568695068,0.0011154732201248407,30,0.0006619389750994742,0.0011149529600515962
30,31,0.0011651767417788506,,31,0.0011644287733361125,
31,32,0.0014552553184330463,,32,0.0014555647503584623,
32,33,0.0010369576048105955,,33,0.0010376633144915104,
33,34,0.0008155250106938183,,34,0.0008158375858329237,
34,35,0.000797239423263818,,35,0.000797141226939857,
35,36,0.000544900365639478,,36,0.0005447826697491109,
36,37,0.0013906618114560843,,37,0.0013879125472158194,
37,38,0.000991272390820086,,38,0.0009901724988594651,
38,39,0.000826452684123069,,39,0.0008265320211648941,
39,40,0.0008602366433478892,0.001536576310172677,40,0.0008589299977757037,0.0015362388221547008
40,41,0.001266772043891251,,41,0.001265903702005744,
41,42,0.0011744488729164004,,42,0.001173732802271843,
42,43,0.0006497175781987607,,43,0.0006491925450973213,
43,44,0.0006177608156576753,,44,0.0006171258864924312,
44,45,0.000513198203407228,,45,0.0005131472134962678,
45,46,0.0009713133331388235,,46,0.0009716851054690778,
46,47,0.0007228083559311926,,47,0.0007222940912470222,
47,48,0.0006022880552336574,,48,0.0006021069712005556,
48,49,0.0009002790902741253,,49,0.000898312428034842,
49,50,0.00047531267045997083,0.0007485314272344112,50,0.00047517596976831555,0.0007489603012800217
50,51,0.0002718303876463324,,51,0.00027182322810404,
51,52,0.0013646139996126294,,52,0.00136543286498636,
52,53,0.0007488931296393275,,53,0.0007482119253836572,
53,54,0.0006257898057810962,,54,0.0006246680277399719,
54,55,0.0005082241841591895,,55,0.0005075287190265954,
55,56,0.0005658832378685474,,56,0.0005658379523083568,
56,57,0.0005022920086048543,,57,0.0005026106955483556,
57,58,0.00027395662618801,,58,0.0002737368631642312,
58,59,0.0007771563832648098,,59,0.0007772002718411386,
59,60,0.0005279412725940347,0.0003532851114869118,60,0.0005268959794193506,0.0003531394468154758
60,61,0.00038998143281787634,,61,0.0003896209818776697,
61,62,0.00024745360133238137,,62,0.00024732822203077376,
62,63,0.0004409371758811176,,63,0.000441251031588763,
63,64,0.0004967983113601804,,64,0.0004968139692209661,
64,65,0.0006360199768096209,,65,0.0006362538551911712,
65,66,0.0005014766938984394,,66,0.0005007318104617298,
66,67,0.0005397237255237997,,67,0.0005386836128309369,
67,68,0.00043366558384150267,,68,0.00043404268217273057,
68,69,0.0005161605076864362,,69,0.000516584434080869,
69,70,0.0007439844775944948,0.0005441730027087033,70,0.000743924523703754,0.0005439737578853965
70,71,0.0005750550189986825,,71,0.0005745194503106177,
71,72,0.00047613150672987103,,72,0.000475188106065616,
72,73,0.00034233511541970074,,73,0.0003425806644372642,
73,74,0.0003421797591727227,,74,0.0003423618618398905,
74,75,0.0004382050537969917,,75,0.00043784789158962667,
75,76,0.0004086092230863869,,76,0.00040844021714292467,
76,77,0.00036428539897315204,,77,0.00036397934309206903,
77,78,0.00036992738023400307,,78,0.000369809044059366,
78,79,0.00031913627753965557,,79,0.0003191967261955142,
79,80,0.0004132184840273112,0.00046246699639596045,80,0.0004133626935072243,0.0004624934517778456
80,81,0.00027645984664559364,,81,0.0002763595257420093,
81,82,0.00020712896366603673,,82,0.0002069940383080393,
82,83,0.0002795610635075718,,83,0.0002797677298076451,
83,84,0.0005077322712168097,,84,0.0005075272638350725,
84,85,0.00047275691758841276,,85,0.0004723792662844062,
85,86,0.0002550692006479949,,86,0.0002548988559283316,
86,87,0.00020918261725455523,,87,0.00020919766393490136,
87,88,0.00025203434051945806,,88,0.0002520174894016236,
88,89,0.00030391791369765997,,89,0.00030381293618120253,
89,90,0.0003277116338722408,0.0003513031988404691,90,0.0003275694034527987,0.00035112386103719473
90,91,0.00029759982135146856,,91,0.0002974248491227627,
91,92,0.000257109641097486,,92,0.0002570202632341534,
92,93,0.00020795413001906127,,93,0.00020792977011296898,
93,94,0.00015506449562963098,,94,0.00015499084838666022,
94,95,0.0003481403400655836,,95,0.00034809985663741827,
95,96,0.0003161083732265979,,96,0.00031593520543538034,
96,97,0.00015694346802774817,,97,0.00015673504094593227,
97,98,0.00027042924193665385,,98,0.00027036250685341656,
98,99,0.00024308754655066878,,99,0.00024310237495228648,
99,100,0.00026923828409053385,0.0003489591763354838,100,0.0002687308588065207,0.000348816771293059
100,101,0.0002659983583725989,,101,0.0002658695157151669,
101,102,0.0001539279182907194,,102,0.00015380546392407268,
102,103,0.00027780942036770284,,103,0.0002775606990326196,
103,104,0.000272033445071429,,104,0.0002718661562539637,
104,105,0.00015626457752659917,,105,0.00015618966426700354,
105,106,0.000232919177506119,,106,0.0002328843402210623,
106,107,0.00023788821999914944,,107,0.00023783359210938215,
107,108,0.00024483524612151086,,108,0.00024476792896166444,
108,109,0.00021466433827299625,,109,0.00021460889547597617,
109,110,0.00019865403010044247,0.00023665916523896158,110,0.0001985833514481783,0.00023664921172894537
110,111,0.00023345965018961579,,111,0.0002334401069674641,
111,112,0.00019644771236926317,,112,0.00019644958956632763,
112,113,0.00014711220865137875,,113,0.00014710226969327778,
113,114,0.00012658469495363533,,114,0.00012654945021495223,
